dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.7892, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.7919, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7926, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8035, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8081, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8041, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8045, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8043, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8042, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8145, TestAcc: 0.7430, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8026, TestAcc: 0.7530, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8010, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7965, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8095, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8010, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8090, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8023, TestAcc: 0.7440, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7967, TestAcc: 0.7530, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8009, TestAcc: 0.7450, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8080, TestAcc: 0.7410, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8050, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8054, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7938, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8024, TestAcc: 0.7450, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8043, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8010, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8011, TestAcc: 0.7430, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7943, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8274, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8241, TestAcc: 0.7550, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8327, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8263, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8324, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8236, TestAcc: 0.7540, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8336, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8388, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8252, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8273, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8257, TestAcc: 0.7530, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8208, TestAcc: 0.7440, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.3, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8242, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.3, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8202, TestAcc: 0.7530, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.3, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8207, TestAcc: 0.7570, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.4, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8232, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.4, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8157, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8281, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8215, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8276, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8259, TestAcc: 0.7430, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8251, TestAcc: 0.7430, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8157, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8156, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.3, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8188, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8821, TestAcc: 0.7450, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8726, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8709, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8816, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8871, TestAcc: 0.7450, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8648, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8717, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8728, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8770, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8736, TestAcc: 0.7540, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8678, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8684, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.3, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8735, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.3, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8758, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.3, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8698, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.4, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8674, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.4, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8731, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8683, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8626, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8682, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.8634, TestAcc: 0.7440, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.8663, TestAcc: 0.7440, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.8608, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.8586, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.4, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.8613, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.9408, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.9474, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.9470, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.9434, TestAcc: 0.7550, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.9485, TestAcc: 0.7530, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.9467, TestAcc: 0.7450, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.9367, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.9392, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.9407, TestAcc: 0.7450, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.9359, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.9325, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.5, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.9282, TestAcc: 0.7520, Overall
